,year,make,mileage,dealer_rating,days_listed,price,market_price,city,state
0,2014,Chevrolet,12112,5.0,1,12995,16465,Ontario,NY
1,2014,Ford,98841,4.0,1,13997,16330,Binghamton,NY
2,2007,Mercedes-Benz,92997,3.5,10,14995,17385,Glenville,NY
3,2011,Ford,168500,5.0,2,11950,25080,Binghamton,NY
4,2011,Honda,62255,3.5,28,11995,15454,Auburn,NY
5,2013,Chevrolet,58126,4.0,528,30000,35752,Farmington,NY
6,2011,Dodge,58805,3.0,114,17555,22344,Saratoga Springs,NY
7,2011,Chrysler,56600,4.5,119,11975,16221,Sidney,NY
8,2014,Chevrolet,12112,5.0,1,12995,16465,Ontario,NY
9,2011,GMC,107826,4.5,198,12400,16472,Rome,NY
10,2011,Jeep,61163,4.5,37,10999,14387,Sidney,NY
11,2011,Kia,86385,4.5,235,10995,15312,Troy,NY
12,2013,Ford,34138,4.0,18,18892,23836,Kingston,NY
13,2004,Toyota,139000,5.0,49,5950,9540,Latham,NY
14,2012,Hyundai,85727,4.0,31,10901,14259,Canandaigua,NY
15,2011,Hyundai,88279,5.0,106,9994,13373,Kingston,NY
16,2014,Mercedes-Benz,29037,4.5,25,27900,33842,Barneveld,NY
17,2016,BMW,950,4.5,262,67980,77565,Glenmont,NY
18,2012,Ram,32593,3.5,8,26995,28161,Bridgeport,NY
19,2014,Toyota,29815,5.0,60,13995,17431,Fayetteville,NY
20,2003,Ford,107104,4.5,134,4100,8349,Rome,NY
21,2014,Hyundai,72936,3.5,19,9995,14029,Watertown,NY
22,2013,Hyundai,87076,5.0,16,7495,10678,Fairport,NY
23,2013,Lincoln,58549,4.5,4,19995,25099,Burnt Hills,NY
24,2013,Nissan,49103,4.5,14,19775,24818,Kingston,NY
25,2011,Chevrolet,100232,4.0,9,8995,12711,Binghamton,NY
26,2012,Kia,91183,4.5,178,9395,13196,Troy,NY
27,2012,BMW,55110,4.0,141,21985,28026,Albany,NY
28,2008,Toyota,74043,5.0,22,6498,9385,Kingston,NY
29,2015,Audi,21780,4.0,63,27985,31419,Oswego,NY
30,2013,Buick,33700,4.5,154,12975,16056,Sidney,NY
31,2014,Jeep,30000,3.0,1,14000,18722,Saugerties,NY
32,2010,Buick,3240,4.5,71,11999,15451,Sidney,NY
33,2008,Ford,140356,5.0,43,15989,23134,Geneva,NY
34,2008,Chevrolet,27594,3.0,72,15995,20975,Whitney Point,NY
