,year,make,mileage,dealer_rating,days_listed,price,market_price,city,state
0,2015,Kia,31883,4.0,49,17550,20299,Kingston,NY
1,2016,Lincoln,13284,5.0,15,36980,40753,West Sand Lake,NY
2,2014,Audi,39639,4.0,102,33500,36636,Kingston,NY
3,2011,Ford,168500,5.0,2,11950,25080,Binghamton,NY
4,2008,Ford,96988,3.0,15,11999,24701,Walden,NY
5,2009,Nissan,79000,5.0,70,12386,16306,Newburgh,NY
6,2011,Honda,62255,3.5,28,11995,15454,Auburn,NY
7,2009,Toyota,155002,5.0,78,2500,6286,East Stroudsburg,PA
8,2011,Dodge,58805,3.0,114,17555,22344,Saratoga Springs,NY
9,2011,Chrysler,56600,4.5,119,11975,16221,Sidney,NY
10,2007,BMW,107957,4.0,28,8990,13570,Lake Hopatcong,NJ
11,2011,GMC,107826,4.5,198,12400,16472,Rome,NY
12,2004,Dodge,114361,5.0,44,3500,7032,East Stroudsburg,PA
13,2013,Ford,30000,4.5,6,8500,12162,East Nassau,NY
14,2011,Jeep,61163,4.5,37,10999,14387,Sidney,NY
15,2011,Kia,86385,4.5,236,10995,15312,Troy,NY
16,2013,Ford,34138,4.0,18,18892,23836,Kingston,NY
17,2004,Toyota,139000,5.0,49,5950,9540,Latham,NY
18,2010,Ford,32816,5.0,1,12580,13315,West Sand Lake,NY
19,2011,Hyundai,88279,5.0,106,9994,13373,Kingston,NY
20,2014,Mercedes-Benz,29037,4.5,25,27900,33842,Barneveld,NY
21,2013,Chevrolet,40315,4.0,52,16347,20287,CORLANDT MANOR,NY
22,2014,Ram,27987,4.5,32,19490,28451,Exeter,PA
23,2016,BMW,950,4.5,262,67980,77565,Glenmont,NY
24,2014,Toyota,29815,5.0,60,13995,17431,Fayetteville,NY
25,2003,Ford,107104,4.5,134,4100,8349,Rome,NY
26,2004,Ford,136328,4.5,38,9499,14543,Newburgh,NY
27,2013,Lincoln,58549,4.5,4,19995,25099,Burnt Hills,NY
28,2005,Chevrolet,139309,3.5,1,7995,13063,Sussex,NJ
29,2013,Nissan,49103,4.5,14,19775,24818,Kingston,NY
30,2011,Chevrolet,100232,4.0,9,8995,12711,Binghamton,NY
31,2012,Kia,91183,4.5,178,9395,13196,Troy,NY
32,2012,BMW,55110,4.0,141,21985,28026,Albany,NY
33,2008,Toyota,74043,5.0,22,6498,9385,Kingston,NY
34,2013,Buick,33700,4.5,154,12975,16056,Sidney,NY
35,2014,Jeep,30000,3.0,1,14000,18722,Saugerties,NY
36,2012,Toyota,103771,5.0,68,17992,23110,Wappingers Falls,NY
37,2008,Chevrolet,27594,3.0,72,15995,20975,Whitney Point,NY
38,2003,Chevrolet,102000,5.0,31,5495,9654,Central Square,NY
39,2009,Volvo,40849,5.0,7,19996,23098,Larksville,PA
40,2014,Toyota,8106,4.0,67,15399,18769,Pittsfield,MA
41,2016,Volkswagen,7260,5.0,119,14995,17050,Shavertown,PA
42,2014,BMW,42366,4.5,16,39880,46294,Latham,NY
43,2005,Chevrolet,193715,5.0,49,3500,7666,East Stroudsburg,PA
44,2013,Mazda,56144,4.5,52,11500,14653,Poughkeepsie,NY
45,2007,Chevrolet,168600,5.0,1,7995,13178,Baldwinsville,NY
46,2013,Jeep,45945,5.0,81,18995,23325,Fayetteville,NY
47,2014,Mercedes-Benz,10163,5.0,1,48900,55929,Endicott,NY
48,2013,Hyundai,24540,4.0,136,9993,12742,Middletown,NY
49,2004,Ford,161200,5.0,1,4963,9586,East Stroudsburg,PA
