,year,make,mileage,dealer_rating,days_listed,price,market_price,city,state
152,2012,Toyota,16437,5.0,24,13500,16006,Rochester,NY
153,2014,Kia,44000,4.0,83,14495,17224,Sodus,NY
154,2013,Hyundai,84515,3.5,23,9950,12732,Mansfield,PA
155,2014,Chevrolet,69184,3.0,126,17988,21723,Oakfield,NY
156,2014,Lexus,30290,3.0,126,20883,25570,Oakfield,NY
157,1998,Chevrolet,46346,4.5,56,13400,16736,Rome,NY
158,2013,Ford,61292,5.0,2,21995,25478,Sayre,PA
159,2014,Chevrolet,20087,3.5,162,17961,20974,LOCKPORT,NY
160,2010,Volkswagen,65625,5.0,3,6995,9354,Webster,NY
161,2014,Ford,49330,3.5,53,17991,21674,Rochester,NY
162,2014,Kia,16963,4.5,25,17990,20896,East Syracuse,NY
163,2014,Acura,30002,4.5,67,32430,35543,Getzville,NY
164,2011,Ram,73125,4.5,85,16801,22170,Batavia,NY
165,2007,Audi,98000,4.5,17,6995,9517,Webster,NY
166,2013,Hyundai,35032,3.5,65,14950,17732,Mansfield,PA
167,2014,Ford,41797,3.0,25,22999,26958,Buffalo,NY
168,2014,Mazda,28556,3.5,50,10950,13961,Mansfield,PA
169,2013,Jeep,57291,3.0,15,22499,25573,Buffalo,NY
170,2012,Nissan,64148,4.5,135,10495,12844,Rochester,NY
171,2012,Volvo,68006,4.0,149,21885,25535,Oswego,NY
172,2014,Ford,40858,4.0,135,24999,29192,Farmington,NY
173,2008,Porsche,87700,5.0,28,24350,28959,Buffalo,NY
174,2007,Chevrolet,100021,4.0,63,14995,18375,Clinton,NY
175,2010,Dodge,113839,5.0,98,5988,7677,Rochester,NY
176,2013,Lincoln,48113,4.0,240,22500,26457,Albion,NY
177,2006,Chevrolet,113549,5.0,28,2999,5741,Syracuse,NY
178,2009,Volkswagen,93157,3.0,8,5499,7783,Buffalo,NY
179,2013,Ram,30692,5.0,275,29900,34003,Lockport,NY
180,2013,Hyundai,87076,5.0,17,7495,10308,Fairport,NY
