,address,days_listed,dealer_rating,make,market_price,mileage,price,year
0,"Bridgeport, NY",< 1 day on CarGurus,"<span class=""cg-dealFinder-result-sellerRatingValue""><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star_half""></i><i class=""cg-icon cg-listingSearch-star_disabled""></i></span>","2008 Mercedes-Benz M-Class ML350           Viewed
","Instant Market Value of $16,680","Mileage: 79,870 mi","$13,995 
 $254/est. mo
","2008 Mercedes-Benz M-Class ML350           Viewed
"
1,"Spencerport, NY",176 days on CarGurus,"<span class=""cg-dealFinder-result-sellerRatingValue""><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star_disabled""></i></span>","2010 Ford Escape Limited 4WD           Viewed
","Instant Market Value of $11,558","Mileage: 101,241 mi","$9,580 
 $174/est. mo
","2010 Ford Escape Limited 4WD           Viewed
"
2,"Williamsville, NY",99 days on CarGurus,"<span class=""cg-dealFinder-result-sellerRatingValue""><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star_half""></i><i class=""cg-icon cg-listingSearch-star_disabled""></i></span>","2012 Hyundai Elantra GLS           Viewed
","Instant Market Value of $9,741","Mileage: 85,729 mi","$7,900 $9,588
 $144/est. mo
","2012 Hyundai Elantra GLS           Viewed
"
3,"Oakfield, NY",126 days on CarGurus,"<span class=""cg-dealFinder-result-sellerRatingValue""><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star_disabled""></i><i class=""cg-icon cg-listingSearch-star_disabled""></i></span>","2013 Subaru Forester 2.5X           Viewed
","Instant Market Value of $15,408","Mileage: 84,505 mi","$10,988 
 $199/est. mo
","2013 Subaru Forester 2.5X           Viewed
"
4,"Elba, NY",117 days on CarGurus,"<span class=""cg-dealFinder-result-sellerRatingValue""><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star""></i></span>","2011 Chevrolet Silverado 2500HD LT Crew Cab 4WD           Viewed
","Instant Market Value of $23,809","Mileage: 153,941 mi","$16,900 
 $306/est. mo
","2011 Chevrolet Silverado 2500HD LT Crew Cab 4WD           Viewed
"
5,"GREAT VALLEY, NY",169 days on CarGurus,"<span class=""cg-dealFinder-result-sellerRatingValue""><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star_half""></i></span>","2015 GMC Terrain SLE2 AWD           Viewed
","Instant Market Value of $23,350","Mileage: 20,628 mi","$19,000 
 $344/est. mo
","2015 GMC Terrain SLE2 AWD           Viewed
"
6,"Rochester, NY",97 days on CarGurus,"<span class=""cg-dealFinder-result-sellerRatingValue"">none</span>","2003 Chevrolet Silverado 1500 LT Ext Cab Short Bed 4WD           Viewed
","Instant Market Value of $9,950","Mileage: 109,032 mi","$4,495 
 $82/est. mo
","2003 Chevrolet Silverado 1500 LT Ext Cab Short Bed 4WD           Viewed
"
7,"Auburn, NY",28 days on CarGurus,"<span class=""cg-dealFinder-result-sellerRatingValue""><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star_half""></i><i class=""cg-icon cg-listingSearch-star_disabled""></i></span>","2011 Honda CR-V SE AWD           Viewed
","Instant Market Value of $15,454","Mileage: 62,255 mi","$11,995 $12,995
 $218/est. mo
","2011 Honda CR-V SE AWD           Viewed
"
8,"GREAT VALLEY, NY",169 days on CarGurus,"<span class=""cg-dealFinder-result-sellerRatingValue""><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star_half""></i></span>","2015 GMC Terrain SLE2 AWD           Viewed
","Instant Market Value of $23,223","Mileage: 22,105 mi","$19,000 
 $344/est. mo
","2015 GMC Terrain SLE2 AWD           Viewed
"
9,"Akron, NY",212 days on CarGurus,"<span class=""cg-dealFinder-result-sellerRatingValue"">none</span>","2011 Chevrolet Express Cargo 2500           Viewed
","Instant Market Value of $13,316","Mileage: 125,000 mi","$8,995 
 $163/est. mo
","2011 Chevrolet Express Cargo 2500           Viewed
"
10,"Farmington, NY",528 days on CarGurus,"<span class=""cg-dealFinder-result-sellerRatingValue""><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star_disabled""></i></span>","2013 Chevrolet Tahoe LTZ 4WD           Viewed
","Instant Market Value of $35,752","Mileage: 58,126 mi","$30,000 
 $544/est. mo
","2013 Chevrolet Tahoe LTZ 4WD           Viewed
"
11,"Ontario, NY",< 1 day on CarGurus,"<span class=""cg-dealFinder-result-sellerRatingValue""><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star""></i></span>","2014 Chevrolet Malibu LT           Viewed
","Instant Market Value of $16,465","Mileage: 12,112 mi","$12,995 
 $236/est. mo
","2014 Chevrolet Malibu LT           Viewed
"
12,"Mansfield, PA",6 days on CarGurus,"<span class=""cg-dealFinder-result-sellerRatingValue""><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star_half""></i><i class=""cg-icon cg-listingSearch-star_disabled""></i></span>","2014 Lexus ES 350 Base           Viewed
","Instant Market Value of $26,657","Mileage: 29,775 mi","$20,950 
 $380/est. mo
","2014 Lexus ES 350 Base           Viewed
"
13,"Rome, NY",198 days on CarGurus,"<span class=""cg-dealFinder-result-sellerRatingValue""><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star_half""></i></span>","2011 GMC Canyon SLE1 Crew Cab 4WD           Viewed
","Instant Market Value of $16,472","Mileage: 107,826 mi","$12,400 
 $225/est. mo
","2011 GMC Canyon SLE1 Crew Cab 4WD           Viewed
"
14,"Lockport, NY",21 days on CarGurus,"<span class=""cg-dealFinder-result-sellerRatingValue""><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star_disabled""></i><i class=""cg-icon cg-listingSearch-star_disabled""></i></span>","2012 Volvo XC60 3.2 AWD           Viewed
","Instant Market Value of $18,978","Mileage: 94,000 mi","$14,995 
 $272/est. mo
","2012 Volvo XC60 3.2 AWD           Viewed
"
15,"Medina, NY",78 days on CarGurus,"<span class=""cg-dealFinder-result-sellerRatingValue""><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star_disabled""></i></span>","2014 Ford Taurus Limited           Viewed
","Instant Market Value of $18,792","Mileage: 41,728 mi","$13,999 $14,999
 $254/est. mo
","2014 Ford Taurus Limited           Viewed
"
