,year,make,mileage,dealer_rating,days_listed,price,market_price,city,state
970,2011,Honda,77935,3.0,169,10990,14159,Bronx,NY
971,2012,Infiniti,58310,4.0,57,19995,23576,Jamaica,NY
972,2013,Ford,44171,4.0,28,15990,19487,Summit,NJ
973,2013,Kia,35379,3.5,92,15994,19444,Newburgh,NY
974,2013,Ford,27600,3.0,21,15995,19766,Naugatuck,CT
975,2010,Subaru,59000,4.0,19,12800,17317,Elmhurst,NY
976,2012,Ford,43681,4.5,16,9490,12373,Aberdeen Twp,NJ
977,2013,Dodge,40600,3.0,41,12995,16790,Naugatuck,CT
978,2013,Nissan,24300,3.0,2,11995,16609,Little Neck,NY
979,2005,BMW,103106,3.5,85,9995,14522,Parsippany,NJ
980,2003,Toyota,124501,5.0,24,2900,5191,Levittown,PA
981,2007,Toyota,96000,4.5,6,5999,8529,Jamesburg,NJ
982,2013,Nissan,42173,2.5,111,9995,13888,Morganville,NJ
983,2008,Honda,94560,4.5,30,9990,12807,West Hartford,CT
984,2013,Mercedes-Benz,31866,5.0,133,36995,42957,Bronx,NY
985,2004,Toyota,113144,5.0,52,3676,6146,Bronx,NY
986,2014,Subaru,29828,3.5,9,20991,24004,Little Ferry,NJ
987,2010,Mercedes-Benz,37659,4.5,67,18995,22634,Trenton,NJ
988,2014,Ford,19280,2.5,49,20995,26015,Bronx,NY
989,2008,BMW,63834,5.0,1,11900,14899,Teterboro,NJ
990,2016,Hyundai,27000,3.0,1,12995,17200,Naugatuck,CT
991,2014,Hyundai,25598,4.0,312,10900,13565,Philadelphia,PA
992,2013,Ford,68988,5.0,169,13995,17463,Brooklyn,NY
993,2014,Lexus,31749,3.0,153,29998,35244,Leonia,NJ
994,2011,Jeep,114451,5.0,70,11925,15371,Hasbrouck Heights,NJ
995,2013,Volkswagen,44154,4.0,2,9699,12364,Palisades Park,NJ
996,2003,GMC,126000,3.5,17,2900,5592,Rockaway,NJ
997,2011,Volvo,89351,4.5,116,13995,17380,Teterboro,NJ
998,2014,Toyota,23530,4.0,98,18950,21996,Staten Island,NY
999,2012,Honda,78933,3.5,114,8995,11657,Lindenhurst,NY
1000,2013,Honda,36310,3.0,6,13990,16746,Long Island City,NY
1001,2008,Toyota,135707,5.0,2,9995,13118,Jersey City,NJ
1002,2009,Chevrolet,72990,3.0,37,10750,14344,Newark,NJ
1003,2009,Buick,77737,4.0,144,12000,15560,Ewing,NJ
1004,2012,Chevrolet,80931,3.0,66,6995,9966,Queens Village,NY
1005,2013,Audi,53483,4.0,65,32995,38505,Great Neck,NY
1006,2014,Mercedes-Benz,17047,3.0,22,21991,26579,Union,NJ
1007,2007,Chrysler,125319,2.5,99,2499,6134,Brooklyn,NY
1008,2006,Chevrolet,100273,3.5,17,4385,7579,Collingswood,NJ
1009,2012,BMW,73668,5.0,1,19490,23757,Freeport,NY
1010,2013,Mercedes-Benz,43186,5.0,88,17998,21605,Bronx,NY
1011,2013,Cadillac,27402,5.0,4,21990,26274,Palmyra,NJ
1012,2013,Honda,38000,5.0,81,11990,14056,Wantagh,NY
1013,2012,Mercedes-Benz,19065,4.0,19,39875,46758,Lawrenceville,NJ
